Title,Artist,Nationality,Born Date,Death Date,Gender,Submission Date,Department,Actual Age,Submission Age
Plate (page 63) from VISAGES,Henri Matisse,French,1869,1954,Male,1946,Prints & Illustrated Books,85,77
"Generator Project, White Oak, Florida, Site and Size Comparison",Cedric Price,British,1934,2003,Male,1979,Architecture & Design,69,45
(Some) Not Realized Projects,Christo,American,1935,,Male,1971,Prints & Illustrated Books,-,36
Tropical Malady,M/M Paris,,1992,,,2004,Prints & Illustrated Books,-,12
No Title (American currency is...),Raymond Pettibon,American,1957,,Male,1987,Drawings,-,30
Bar Lavalle (esq. Rodriquez Pena),Facundo de Zuviría,Argentine,1954,,Male,1988,Photography,-,34
"THE MEETING IN BULKY OVERCOATS, plate LVI (facing page 182) from LES ÂMES MORTES",Marc Chagall,French,1887,1985,Male,1936,Prints & Illustrated Books,98,49
Vladimir Mayakovsky,Aleksandr Rodchenko,Russian,1891,1956,Male,1924,Photography,65,33
Oberweimar Bowls,Wilhelm Wagenfeld,German,1900,1990,Male,1935,Architecture & Design,90,35
Port de l'Hôtel de Ville,Eugène Atget,French,1857,1927,Male,1913,Photography,70,56
Constructive Composition,László Peri,Hungarian,1899,1967,Male,1923,Drawings,68,24
NKF: N.V. Nederlandsche Kabelfabriek Delft,Piet Zwart,Dutch,1885,1977,Male,1928,Architecture & Design,92,43
"1999, 1, Okt",Yoshitomo Nara,Japanese,1959,,Male,1996,Drawings,-,37
W. Profile from Selections from The Nude Ma,Beth Van Hoesen,American,1926,2010,Female,1965,Prints & Illustrated Books,84,39
Tuileries - Agrippine / d'apres l'antique,Eugène Atget,French,1857,1927,Male,1911,Photography,70,54
Tower and Tank,Herman Rose,American,1909,2007,Male,1947,Painting & Sculpture,98,38
MONTMARTRE - RUE DE LA BARRE,Eugène Atget,French,1857,1927,Male,1900,Photography,70,43
The Print and the Poster (L'Estampe et l'affiche),Pierre Bonnard,French,1867,1947,Male,1897,Prints & Illustrated Books,80,30
PINK JELLY,Kinji Akagawa,Japanese,1940,,Male,1966,Prints & Illustrated Books,-,26
Fixing the Wires,Lill Tschudi,Swiss,1911,2004,Female,1932,Prints & Illustrated Books,93,21
Gray Instrumentation IIl from Gray Instrumentation II,Josef Albers,American,1888,1976,Male,1975,Prints & Illustrated Books,88,87
Instrument,Jem Cohen,American,1962,,Male,1999,Film,-,37
Upholstery fabric sample (no. 13304),Marli Ehrman,American,1904,1982,Female,1940,Architecture & Design,78,36
Double page in-text plate (folios 10 verso and 11) from FRAGMENTS,Marcel Mathys,Swiss,1933,,Male,1984,Prints & Illustrated Books,-,51
Untitled from the series African Spirits,Samuel Fosso,French,1962,,Male,2008,Photography,-,46
"SLOWDOWN CHILDREN GROWING (plate, folio 18) from YOUR HOUSE IS MINE",John Fekner,American,1950,,Male,1991,Prints & Illustrated Books,-,41
Picture of Melrose Avenue in an Ornate Gold Frame from A Hollywood Collection,David Hockney,British,1937,,Male,1965,Prints & Illustrated Books,-,28
The Four Horsemen,Reuben Kadish,American,1913,,Male,1941,Prints & Illustrated Books,-,28
Untitled,Carl Van Vechten,American,1880,1964,Male,1950,Photography,84,70
Plate (facing page 6) from PARIS POEMS,Zao Wou-ki,French,1920,2013,Male,1950,Prints & Illustrated Books,93,30
SELF PORTRAIT,Joe Goode,American,1937,,Male,1966,Prints & Illustrated Books,-,29
"Untitled. (pile of clothes, pronounced halftone)",Michael Schmidt,German,1945,2014,Male,1992,Photography,69,47
Berg und Mensch VII,SEO (Seo Soo-Kyoung),Korean,1977,,Female,2003,Drawings,-,26
Red Violet,Elizabeth Murray,American,1940,2007,Female,1995,Prints & Illustrated Books,67,55
"Urban Proposal with Multi Thin-Shell Capsules, project (Plan)",Daniel Grataloup,Swiss,1937,,Male,1970,Architecture & Design,-,33
"THE WOMEN AND THE SECRET (plate 80, 2nd supplementary suite) from FABLES",Marc Chagall,French,1887,1985,Male,1940,Prints & Illustrated Books,98,53
"Untitled (Kunsthalle Basel, Switzerland, 1996)",Christopher Williams,American,1956,,Male,1996,Prints & Illustrated Books,-,40
Iron,Yoram Lehman,Israeli,1939,,Male,1973,Photography,-,34
Untitled,Gabriele Picco,Italian,1974,,Male,2003,Drawings,-,29
Untitled,Unknown,,,,,1910,Photography,-,-
Gard from First Light,James Turrell,American,1943,,Male,1990,Prints & Illustrated Books,-,47
"BENNY BROWN HOUSE - WICHITA FALLS, TEXAS",Frank Gohlke,American,1942,,Male,1982,Photography,-,40
Can of Water Rackets,George Maciunas,American,1931,1978,Male,1970,Prints & Illustrated Books,47,39
London,Robert Frank,American,1924,,Male,1951,Photography,-,27
Headpiece (page 219) from SAINTE MONIQUE,Pierre Bonnard,French,1867,1947,Male,1925,Prints & Illustrated Books,80,58
Colored Rhythm: Study for the Film,Léopold Survage,French,1879,1968,Male,1913,Drawings,89,34
"7eme Exposition du Salon des 100, Décembre 1894",Cazals,French,1865,1941,Male,1894,Architecture & Design,76,29
"Mongol, Iwan, Persia",Kipton Kumler,American,,,,1976,Photography,-,-
Title page from Quantum,Garo Antreasian,American,1922,,Male,1966,Prints & Illustrated Books,-,44
Small Self-Portrait (Kleines Selbstbildnis) (plate 3) from the illustrated book Deutsche Graphiker der Gegenwart (German Printmakers of Our Time),Käthe Kollwitz,German,1867,1945,Female,1920,Prints & Illustrated Books,78,53
"Untitled, illustration to Wilhelm Hauff's poem ""Dawn's Light"" (Morgenrot, Morgenrot) (border, 6th song, folio 44) from the periodical Der Bildermann, supplement to vol. 1, no. 11 (Sep 1916)",Josef Bato,Hungarian,1888,1966,Male,1916,Prints & Illustrated Books,78,28
Max le Chinois Colander,Philippe Starck,French,1949,,Male,1987,Architecture & Design,-,38
Plate (page 21) from PARLER SEUL,Joan Miró,Spanish,1893,1983,Male,1949,Prints & Illustrated Books,90,56
"Am 20. Mai Wählt Sozialdemokraten, Wählt Liste 1",Walter Dexel,German,1890,1973,Male,1925,Architecture & Design,83,35
1/2 Brown Curved Area Series V,Robert Mangold,American,1937,,Male,1968,Prints & Illustrated Books,-,31
Diagram of Doom Number 2,Edward Steichen,American,1879,1973,Male,1922,Photography,94,43
Nude Woman with Parasol,André Dunoyer de Segonzac,French,1884,1974,Male,1925,Prints & Illustrated Books,90,41
"Love of Life Orchestra, Laurie Anderson and Glenn Branca (Poster for benefit concert and dance party)",Thomas Klinkowstein,American,1950,,Male,1980,Architecture & Design,-,30
Untitled from Iris Print-out Portrait,Les Levine,American,1935,,Male,1969,Prints & Illustrated Books,-,34
Hospital,Frederick Wiseman,American,1930,,Male,1969,Film,-,39
Woman by the Window,Lolita Zikmane,Russian,,,Female,1982,Prints & Illustrated Books,-,-
Untitled,U.S. Army Signal Corps,American,,,,1944,Photography,-,-
"E. L. Marting House, Northampton Township, Ohio Project (Perspective)",Frank Lloyd Wright,American,1867,1959,Male,1947,Architecture & Design,92,80
Cité Valmy. Porte d'Asnières,Eugène Atget,French,1857,1927,Male,1913,Photography,70,56
A from Set of Five Prints,William Tucker,American,1935,,Male,1969,Prints & Illustrated Books,-,34
Exhibition of the Society of Artist Decorators,Raoul Dufy,French,1877,1953,Male,1939,Prints & Illustrated Books,76,62
Untitled (page from Sump),Jerome Neuner,American,1945,,Male,1994,Photography,-,49
Fluxus 1,Various Artists,,,,,1966,Prints & Illustrated Books,-,-
Untitled,Gilles Peress,French,1946,,Male,1988,Photography,-,42
Untitled,Sol Libsohn,American,1914,2001,Male,1940,Photography,87,26
MY OWN,Masuo Ikeda,Japanese,1934,1997,Male,1963,Prints & Illustrated Books,63,29
The Cross-Eyed Woman Giving Birth,Louise Bourgeois,American,1911,2010,Female,2005,Prints & Illustrated Books,99,94
La Maladie de l'Amour,Louise Bourgeois,American,1911,2010,Female,2008,Prints & Illustrated Books,99,97
"Universal Church of Christ, New York",Todd Webb,American,1905,2000,Male,1946,Photography,95,41
Rodeo on A Bar A Ranch,Fritz Henle,American,1909,1993,Male,1938,Photography,84,29
Brno Chair,Ludwig Mies van der Rohe,American,1886,1969,Male,1930,Architecture & Design,83,44
Bike Stand,André Kertész,American,1894,1985,Male,1961,Photography,91,67
Overseas Letter,Louise Bourgeois,American,1911,2010,Female,1944,Prints & Illustrated Books,99,33
Untitled #260,José Antonio Suárez Londoño,Colombian,1955,,Male,2008,Prints & Illustrated Books,-,53
"PSALM 51, plate 20 (page 47) from PSAUMES DE DAVID",Marc Chagall,French,1887,1985,Male,1978,Prints & Illustrated Books,98,91
I Got Up...,On Kawara,Japanese,1933,,Male,1977,Painting & Sculpture,-,44
Adaptive,Franz West,Austrian,1947,2012,Male,2003,Prints & Illustrated Books,65,56
Plate (page 158) from LES FLEURS DU MAL,Henri Matisse,French,1869,1954,Male,1946,Prints & Illustrated Books,85,77
Vignette (folio 1) from LE PETIT CHAPERON ROUGE,Edgard Tytgat,Belgian,1879,1957,Male,1916,Prints & Illustrated Books,78,37
"Painting on Blue and Yellow Wall from the ""Painting"" Series",Roy Lichtenstein,American,1923,1997,Male,1984,Prints & Illustrated Books,74,61
"Plate 3 of 11, from the illustrated book, He Disappeared into Complete Silence",Louise Bourgeois,American,1911,2010,Female,1994,Prints & Illustrated Books,99,83
The Little Match Girl,Michael Sporn,American,1946,,Male,1991,Film,-,45
FLORESTAN II,Hubertus von Pilgrim,German,1931,,Male,1962,Prints & Illustrated Books,-,31
"THE RAT AND THE ELEPHANT (plate; volume II, folio 74) from FABLES",Marc Chagall,French,1887,1985,Male,1940,Prints & Illustrated Books,98,53
Headpiece (page 42) from HISTOIRES NATURELLES,Hans Erni,Swiss,1909,2015,Male,1954,Prints & Illustrated Books,106,45
"Boss, Ellis Prison, Texas",Danny Lyon,American,1942,,Male,1968,Photography,-,26
Untitled,Unknown,,,,,1949,Photography,-,-
"MR. ESDERS' MANSION: VESTIBULE, SIDE A, SIDE B (after Louis Süe and André Mare; plate, page 99) from ARCHITECTURES",Jacques Villon,French,1875,1963,Male,1921,Prints & Illustrated Books,88,46
Title page from BESTIARY/BESTARIO,Antonio Frasconi,American,1919,2013,Male,1965,Prints & Illustrated Books,94,46
"New National Gallery, Berlin, Germany (Column with details)",Ludwig Mies van der Rohe,American,1886,1969,Male,1965,Architecture & Design,83,79
Robert Rauschenberg,Chuck Close,American,1940,,Male,1996,Photography,-,56
"JERUSALEM, FROM THE WELL OF EN-ROGEL (Plate 12)",Francis Frith,British,1822,1898,Male,1859,Photography,76,37
"PROFILE (plate, facing page 40) from RÉINCARNATIONS DU PÈRE UBU",Georges Rouault,French,1871,1958,Male,1924,Prints & Illustrated Books,87,53
Peasant of Puebla (Campesino de Puebla),Raúl Anguiano,Mexican,1915,2006,Male,1924,Prints & Illustrated Books,91,9
Poster of the French National Railroad,Album-miscellaneous,Various,,,,1922,Architecture & Design,-,-
Four Scribbles (Quatre gribouillis),Jean Dubuffet,French,1901,1985,Male,1960,Drawings,84,59
Come In,William Wegman,American,1943,,Male,1970,Media and Performance Art,-,27
Cienfuegos,Gastone Novelli,Italian,1925,1968,Male,1968,Painting & Sculpture,43,43
Untitled (Drawing-Collage),Joan Miró,Spanish,1893,1983,Male,1933,Drawings,90,40
7,Lawrence Weiner,American,1942,,Male,1972,Media and Performance Art,-,30
Wm. H. Seward. 85 Feet in Circumference. Mariposa Grove of Mammoth Trees,Eadweard J. Muybridge,American,1830,1904,Male,1872,Photography,74,42
"DAPHNE AND CHLOE (double page plate, folios 9 and 10) from QUELQUES BOIS",L. Marval,French,,,,1918,Prints & Illustrated Books,-,-
Accordion & Voice,Pauline Oliveros,,,,Female,1982,Prints & Illustrated Books,-,-
"Untitled from The Bride Stripped Bare by Her Bachelors, Even (The Green Box) (La mariée mise à nu par ses célibataires, même [Boîte verte])",Marcel Duchamp,American,1887,1968,Male,1934,Prints & Illustrated Books,81,47
Dancer (Tänzerin),Georg Kolbe,German,1877,1947,Male,1918,Drawings,70,41
The Best Decision Ever Made,Chris Miner,American,1973,,Male,2004,Media and Performance Art,-,31
Trays,Walter Von Nessen,American,1889,1943,Male,1928,Architecture & Design,54,39
Untitled from Dominoes,Donald Sultan,American,1951,,Male,1990,Prints & Illustrated Books,-,39
Standing Woman in Kimono (Dame im Kimono),Gustav Klimt,Austrian,1862,1918,Male,1918,Drawings,56,56
"Feature Animation Building, The Walt Disney Company, Burbank, California, South elevation, preliminary study",Robert A. M. Stern,American,1939,,Male,1992,Architecture & Design,-,53
Control Group (Kontroll Csoport) band,László Kistamás,,,,Male,1980,Architecture & Design,-,-
"Urban Proposal with Multi Thin-Shell Capsules, project (Detail and exterior perspective sketches)",Daniel Grataloup,Swiss,1937,,Male,1970,Architecture & Design,-,33
Ich kann keine Kunst mehr sehen! from The Archives: Art Information Centre Peter Van Beveren,Timm Ulrichs,German,1940,,Male,1981,Prints & Illustrated Books,-,41
"Rebel Works in front of Atlanta, No. 5 from the album Photographic Views of Sherman's Campaign",George Barnard,American,1819,1902,Male,1864,Photography,83,45
Untitled,Unknown,,,,,1936,Photography,-,-
"Auto-Destructive Construction, Festival of Misfits, ICA, London, October 23- November 8, 1962",Gustav Metzger,British,1926,2017,,1962,Prints & Illustrated Books,91,36
New York,Garry Winogrand,American,1928,1984,Male,1965,Photography,56,37
"North of Broomfield, Colorado",Robert Adams,American,1937,,Male,1973,Photography,-,36
Rue des Gobelins,Eugène Atget,French,1857,1927,Male,1926,Photography,70,69
Tailpiece (page 172) from AVENTURES PRODIGIEUSES DE TARTARIN DE TARASCON,Raoul Dufy,French,1877,1953,Male,1934,Prints & Illustrated Books,76,57
"(people in rowboats on water, steamship in background)",Charles Norman Sladen,American,1858,1949,Male,1913,Photography,91,55
The Dream,Antonio Berni,Argentine,1905,1981,Male,1967,Prints & Illustrated Books,76,62
Time is Short,Weegee (Arthur Fellig),American,1899,1968,Male,1942,Photography,69,43
Untitled,Gerd Leufert,Venezuelan,1914,1998,Male,1959,Drawings,84,45
Plate (folio 28 verso) from À TOUTE ÉPREUVE,Joan Miró,Spanish,1893,1983,Male,1952,Prints & Illustrated Books,90,59
Hare Sugar (Hasenzucker),Joseph Beuys,German,1921,1986,Male,1972,Prints & Illustrated Books,65,51
"Precivet Farm, near St. Etienne, France",Félix Thiollier,French,1842,1914,Male,1900,Photography,72,58
Self-Portrait of a Shave and Haircut,Doug Edge,American,1942,,Male,1970,Prints & Illustrated Books,-,28
Gray Interior,Alex Katz,American,1927,,Male,1968,Prints & Illustrated Books,-,41
Untitled from Women are Beautiful,Garry Winogrand,American,1928,1984,Male,1972,Photography,56,44
"Consider Anything, Only Don't Cry",Helen De Michiel,American,1953,,Female,1988,Media and Performance Art,-,35
Untitled from Puro Teatro,Guillermo Kuitca,Argentine,1961,,Male,2003,Prints & Illustrated Books,-,42
Perfect Leader,Max Almy,American,1948,,Female,1983,Media and Performance Art,-,35
HÔPITAL DE LA SALPÊTRIÈRE,Eugène Atget,French,1857,1927,Male,1899,Photography,70,42
Gently Was Anastasia Passing (Film poster),Klára Tamás,American,1946,,Female,1979,Architecture & Design,-,33
"Untitled, no. 10 of 34, from the illustrated book, Ode à l'Oubli",Louise Bourgeois,American,1911,2010,Female,2004,Prints & Illustrated Books,99,93
HÔTEL. 10 PLACE DES VICTOIRES,Eugène Atget,French,1857,1927,Male,1913,Photography,70,56
Preparatory drawing for In Memory of My Feelings,Larry Rivers,American,1923,2002,Male,1967,Prints & Illustrated Books,79,44
Alberto Greco in Piedralaves,Alberto Greco,Argentine,1931,1965,Male,1983,Media and Performance Art,34,52
"Surface is the Between, Stone on Paper No. 3",Shoichi Ida,Japanese,1941,2006,Male,1977,Prints & Illustrated Books,65,36
Sketchbook,Ree Morton,American,1936,1977,Female,1970,Drawings,41,34
Poppy,Arthur B. Davies,American,1862,1928,Male,1920,Prints & Illustrated Books,66,58
Member of a Rural Gymnastics Club,August Sander,German,1876,1964,Male,1912,Photography,88,36
"Nobilissima Visione or St. Francis, design for ballet",Pavel Tchelitchew,American,1898,1957,Male,1938,Drawings,59,40
Untitled from an untitled portfolio,Donald Judd,American,1928,1994,Male,1988,Prints & Illustrated Books,66,60
Gavin,Elizabeth Peyton,American,1965,,Female,2002,Prints & Illustrated Books,-,37
"Reichsbank Project, Berlin-Mitte, Germany, Plan, penthouse",Ludwig Mies van der Rohe,American,1886,1969,Male,1933,Architecture & Design,83,47
Tailpiece (page 9) from GLI ANGELI MI DISTURBANO,Masuo Ikeda,Japanese,1934,1997,Male,1969,Prints & Illustrated Books,63,35
"Obshchestvo khudozhnikov ""Soiuz molodezhi"", no. 1",Russian Book Collection,,,,,1912,Prints & Illustrated Books,-,-
Untitled from an untitled portfolio,Mateo Manaure,Venezuelan,1926,2018,Male,1969,Prints & Illustrated Books,92,43
Untitled from Flourish Night Posters,Lucy McKenzie,British,1977,,Female,2002,Prints & Illustrated Books,-,25
Art & Project Bulletin #93,Barry Flanagan,British,1941,2009,Male,1975,Prints & Illustrated Books,68,34
Auberge du Bourdon. 64 rue de Varenne,Eugène Atget,French,1857,1927,Male,1907,Photography,70,50
Venetian Blind,Jan Dibbets,Dutch,1941,,Male,1970,Photography,-,29
1st Element for VENTRILOQUIST,Jasper Johns,American,1930,,Male,1986,Prints & Illustrated Books,-,56
Legend of Coyote Rock,Charles A. Nichols,American,1910,1992,Male,1945,Film,82,35
"Pickens County, Carrollton, Alabama",James Dow,American,1942,,Male,1976,Photography,-,34
Untitled,Unknown,,,,,1955,Photography,-,-
Untitled,Unknown,,,,,1949,Photography,-,-
Portrait of M. Martin,Charles Boily,French,,,Male,1805,Photography,-,-
Chrome Hearts,Tadanori Yokoo,Japanese,1936,,Male,1997,Architecture & Design,-,61
Untitled,Unknown,,,,,1926,Photography,-,-
Leather Apparel,Hal Fischer,American,1950,,Male,1977,Photography,-,27
"Sculpture Vivante (Living Sculpture), Festival of Misfits, Gallery One, London, October 23- November 8, 1962, Taking ""God"" 1960 for a walk during the Festival of Misfits",Ben Vautier,French,1935,,Male,1962,Fluxus Collection,-,27
Untitled #130,José Antonio Suárez Londoño,Colombian,1955,,Male,1997,Prints & Illustrated Books,-,42
In-text plate (page 185) from OEUVRES,Gustave Doré,French,1832,1883,Male,1854,Prints & Illustrated Books,51,22
Etching in Four Parts,Robert Ryman,American,1930,,Male,1972,Prints & Illustrated Books,-,42
Little Things from Moonrath,Lisa Fromartz,American,1946,,Female,2005,Prints & Illustrated Books,-,59
On Brecht,Antonio Frasconi,American,1919,2013,Male,1962,Architecture & Design,94,43
Artistic Branch,Walter Pichler,Austrian,1936,2012,Male,1972,Drawings,76,36
"Tugendhat House, Brno, Czech Republic, Sofa and bed in lady's room. Elevations.",Ludwig Mies van der Rohe,American,1886,1969,Male,1929,Architecture & Design,83,43
SUITE IBIZA,Karl Fred Dahmen,German,1917,1981,Male,1963,Prints & Illustrated Books,64,46
Progression,Louise Bourgeois,American,1911,2010,Female,1990,Prints & Illustrated Books,99,79
4th International Aviation Meeting Zurich,Otto Baumberger,Swiss,1889,1961,Male,1937,Architecture & Design,72,48
"Ground-Floor House in The Dwelling of Our Time, German Building Exhibition, Berlin, Germany (Floorplan)",Lilly Reich,German,1885,1947,Female,1931,Architecture & Design,62,46
Plate (folio 38) from L'Enchanteur pourrissant,André Derain,French,1880,1954,Male,1909,Prints & Illustrated Books,74,29
"Plate (folio 11) from IN MEMORIAN: PIER PAOLO PASOLINI, UNA DISPERATA VITALITÁ",Antonio Frasconi,American,1919,2013,Male,1993,Prints & Illustrated Books,94,74
Untitled (gray and white lines),Lauretta Vinciarelli,Italian,1943,2012,Female,1973,Architecture & Design,69,30
Untitled,Wyatt Kahn,American,1983,,Male,2018,Prints & Illustrated Books,-,35
"LIFE (plate, folio 9) from YES AND NO",Kim Keever,American,1950,,Female,1982,Prints & Illustrated Books,-,32
"Nine (plate, folio 28) from Numbers",Robert Indiana,American,1928,2018,Male,1968,Prints & Illustrated Books,90,40
"Untitled from The Bride Stripped Bare by Her Bachelors, Even (The Green Box) (La mariée mise à nu par ses célibataires, même [Boîte verte])",Marcel Duchamp,American,1887,1968,Male,1934,Prints & Illustrated Books,81,47
MONTLHÉRY -- ANCIEN. HÔTEL DIEU FONDÉ PAR LOUIS VII EN 1149 -- CES FIGURES PERSONNIFIENT LA FIÈVRE,Eugène Atget,French,1857,1927,Male,1902,Photography,70,45
"Generator Project, White Oak, Florida, Five Enclosures, Model and Baseboard",Cedric Price,British,1934,2003,Male,1979,Architecture & Design,69,45
"Canton, Ohio",Lee Friedlander,American,1934,,Male,1980,Photography,-,46
Help Russia's Freed People,Unknown,Nationality Unknown,,,,1922,Architecture & Design,-,-
7th Kimono Show,Yoshio Hayakawa,Japanese,1917,,Male,1952,Architecture & Design,-,35
"Arab, Egypt",Dorothea Lange,American,1895,1965,Female,1963,Photography,70,68
Utinoe gnezdyshko... durnykh slov (A Little Duck's Nest...of Bad Words),Olga Rozanova,Russian,1886,1918,Female,1913,Prints & Illustrated Books,32,27
"I Want to See It to Believe It from Brunidor Portfolio, No. 1",Roberto Matta,Chilean,1911,2002,Male,1947,Prints & Illustrated Books,91,36
"Ruins from the Tomb of the Christian, near Cherchell, Algeria",John B. Greene,American,1832,1856,Male,1856,Photography,24,24
Security Barrier Type K from Security Barriers A-L,Bani Abidi,Pakistani,1971,,Female,2008,Prints & Illustrated Books,-,37
Tablecloth,Unknown,German,,,,1923,Architecture & Design,-,-
"Duplicate of plate from folio 9 (folio 19) from LE MOT ""BUVETTE""",Bram van Velde,Dutch,1895,1981,Male,1975,Prints & Illustrated Books,86,80
"Canto XXVII: Circle Eight, Bolgia 8, The Evil Counselors from the series Thirty-Four Illustrations for Dante's Inferno",Robert Rauschenberg,American,1925,2008,Male,1960,Drawings,83,35
Tailpiece (page 42) from PHYSIOLOGUS THEOBALDI EPISCOPI DE NATURIS DUODECIM ANIMALIUM,Rudy Pozzatti,American,1925,,Male,1964,Prints & Illustrated Books,-,39
"Remodelling of Modlinger House, Wannsee, Berlin (Floor plan)",Lilly Reich,German,1885,1947,Female,1930,Architecture & Design,62,45
Wrestlers,Henri Gaudier-Brzeska,French,1891,1915,Male,1914,Prints & Illustrated Books,24,23
Untitled,Todd Walker,American,1917,1998,Male,1970,Photography,81,53
Weekend House (Wochenendhaus) from Graphics of Capitalist Realism (Grafik des Kapitalistischen Realismus),Sigmar Polke,German,1941,2010,Male,1967,Prints & Illustrated Books,69,26
"An Arrest When the Suffragettes Began a Riot in Parliament, London",Brown Brothers,American,1904,,Male,1912,Photography,-,8
"Recto: Green Eyes, Verso: Untitled",Pierre Alechinsky,Belgian,1927,,Male,1962,Prints & Illustrated Books,-,35
"Postcard for Merz Vortragsabend (Merz lecture evening) of, poems, grotesques, satire, verse, epic, Dada, and sound poetry, by Kurt Schwitters",Kurt Schwitters,German,1887,1948,Male,1926,Architecture & Design,61,39
Untitled,Ben Vautier,French,1935,,Male,1966,Fluxus Collection,-,31
Akademieausstellung die Staatliche Akademie der Bildende Künste Stuttgart Seigt Arbeiten aus Allen Abteilungen in Stuttgart am Weissenhof 1,Eugen Funk,German,1911,2004,Male,1957,Architecture & Design,93,46
Festival of the Naked,Ono Takahiro,Japanese,1925,,Male,1952,Photography,-,27
Galerie Graphique Thésée expose L' Antitête par Tristan Tzara Illustré par Max Ernst - Yves Tanguy - Joan Miró,Joan Miró,Spanish,1893,1983,Male,1949,Architecture & Design,90,56
"Casa Cooper, San Isidro, Lima, Peru (Plan, ground floor)",Frederick Cooper Llosa,Peruvian,1939,,Male,1974,Architecture & Design,-,35
"Palacio de los Deportes, Mexico City, Mexico",José Antonio Attolini Lack,Mexican,1931,2012,Male,1966,Architecture & Design,81,35
Framed/Exploded/Defaced,Daniel Buren,French,1938,,Male,1978,Prints & Illustrated Books,-,40
THE OLD MONARCH,Abraham Walkowitz,American,1878,1965,Male,1900,Prints & Illustrated Books,87,22
Headpiece for Elektra: Sheet of Music (Elektra: Notenblatt),Lovis Corinth,German,1858,1925,Male,1908,Prints & Illustrated Books,67,50
Utah,Lee Friedlander,American,1934,,Male,2000,Photography,-,66
Isadora Duncan,Abraham Walkowitz,American,1878,1965,Male,1932,Drawings,87,54
Untitled from the series Gesellschaft beginnt mit drei,Andrzej Steinbach,German,1983,,,2017,Photography,-,34
Untitled,Unknown,,,,,1949,Photography,-,-
Untitled,Mateo López,Colombian,1978,,Male,2009,Drawings,-,31
Ganryuzima,Tadanori Yokoo,Japanese,1936,,Male,1997,Architecture & Design,-,61
Border Patrol on Acid,Enrique Chagoya,Mexican,1953,,Male,2007,Prints & Illustrated Books,-,54
Anger (La Colère) from The Deadly Sins (Les Péchés capitaux),James Ensor,Belgian,1860,1949,Male,1904,Prints & Illustrated Books,89,44
HÔTEL DE CHOISY. RUE BARBETTE 8,Eugène Atget,French,1857,1927,Male,1901,Photography,70,44
PROCESSION,Jack Zajac,American,1929,,Male,1955,Prints & Illustrated Books,-,26
"Variant of plate from page 21 (supplementary suite, plate 10) from DIALOGUES DES COURTISANES",Aristide Maillol,French,1861,1944,Male,1946,Prints & Illustrated Books,83,85
"Cementerio de la Ciudad Abierta, Ritoque, Chile",Juan Baixas,Chilean,1942,,Male,1975,Architecture & Design,-,33
Futurists (Futuryzje),Anatol Stern,Polish,1899,1968,Male,1919,Architecture & Design,69,20
I-Ching Series,Walter William Barker,American,1921,2004,Male,1962,Drawings,83,41
Untitled,Robert Barry,American,1936,,Male,1994,Prints & Illustrated Books,-,58
Charles Street and West Street,Madoka Takagi,Japanese,1956,2015,Female,1989,Photography,59,33
Luxembourg,Eugène Atget,French,1857,1927,Male,1900,Photography,70,43
Banty Raids,Robert McKimson,American,1910,1977,Male,1963,Film,67,53
Untitled,Garry Winogrand,American,1928,1984,Male,1954,Photography,56,26
of all people,Sheela Gowda,Indian,1957,,Female,2011,Painting & Sculpture,-,54
In-text plate (page 43) from PARLER SEUL,Joan Miró,Spanish,1893,1983,Male,1949,Prints & Illustrated Books,90,56
"Gericke House, Project, Berlin-Wannsee (Preliminary perspective sketch)",Ludwig Mies van der Rohe,American,1886,1969,Male,1932,Architecture & Design,83,46
Music of Chopin Performed on the Reversed Piano,Evan Holloway,American,1967,,Male,2000,Prints & Illustrated Books,-,33
"Progressive proof of first 6 colors for Plate 8 (supplementary suite, plate 103) from FOUR TALES FROM THE ARABIAN NIGHTS",Marc Chagall,French,1887,1985,Male,1944,Prints & Illustrated Books,98,57
It's a Man's Man's Man's World,Residents,American,1972,,,1984,Film,-,12
Standing Girl (Stehendes Mädchen),Wilhelm Lehmbruck,German,1881,1919,Male,1915,Drawings,38,34
Marina from AGPA 73: Pan American Graphic Arts (AGPA 73: Artes gráficas panamericanas),Jordi Secall Roure,Spanish,1932,2010,Male,1973,Prints & Illustrated Books,78,41
"DRAGON (plate, folio 20) from THE SCOTTISH BESTIARY",Adrian Wiszniewski,British,1958,,Male,1986,Prints & Illustrated Books,-,28
Untitled from Kartinki-Voina russkikh s nemtsami (Russia's War with the Germans in Pictures),Unknown,,,,,1914,Prints & Illustrated Books,-,-
The Black Power Mixtape,Göran Olsson,Swedish,1965,,Male,1971,Film,-,6
"PALACE AND CANAL, plate XX (folio 32) from VOYAGE À VENISE",André Masson,French,1896,1987,Male,1952,Prints & Illustrated Books,91,56
Sainte Sébastienne,Louise Bourgeois,American,1911,2010,Female,1992,Prints & Illustrated Books,99,81
Plate (page 39) from À POÈMES ROMPUS,Jacques Villon,French,1875,1963,Male,1960,Prints & Illustrated Books,88,85
Pagosa Springs from Copper Series,Frank Stella,American,1936,,Male,1970,Prints & Illustrated Books,-,34
Plate from Un Poème dans chaque livre,André Beaudin,French,1895,1975,Male,1956,Prints & Illustrated Books,80,61
"Urban Proposal with Multi Thin-Shell Capsules, project (Exterior and interior perspective sketches)",Daniel Grataloup,Swiss,1937,,Male,1970,Architecture & Design,-,33
