Title,Artist,Nationality,Born Date,Death Date,Gender,Submission Date,Department,Actual Age,Submission Age
Fortune,Kiki Smith,American,1954,,Female,2008,Prints & Illustrated Books,-,54
"Meeting Street, Charleston, South Carolina, August 3, 1975",Stephen Shore,American,1947,,Male,1975,Photography,-,28
Cover for Old Stories (Les Vieilles Histoires),Henri de Toulouse-Lautrec,French,1864,1901,Male,1893,Prints & Illustrated Books,37,29
Untitled,Willem de Kooning,American,1904,1997,Male,1966,Drawings,93,62
"Double page plate (folios 14 and 15) from AMISH, Volume II",Stephen White,American,1948,,Male,1968,Prints & Illustrated Books,-,20
Are You Rea #17,Robert Heinecken,American,1931,2006,Male,1966,Photography,75,35
Headpiece (page 93) from PASSION,Georges Rouault,French,1871,1958,Male,1934,Prints & Illustrated Books,87,63
Bar Tools,Studio Opi,Italian,1955,,,1969,Architecture & Design,-,14
Multi-use Rocker Prototype,Frederick Kiesler,American,1890,1965,Male,1942,Architecture & Design,75,52
Cascade Mountains,Lee Friedlander,American,1934,,Male,1980,Photography,-,46
Japanese House in the Garden of the Museum of Modern Art,Ezra Stoller,American,1915,2004,Male,1955,Architecture & Design,89,40
"Neue Wache War Memorial Project, Berlin-Mitte, Germany",Ludwig Mies van der Rohe,American,1886,1969,Male,1930,Architecture & Design,83,44
[History of Art Chart],George Maciunas,American,1931,1978,Male,1958,Prints & Illustrated Books,47,27
Bagatelle,Eugène Atget,French,1857,1927,Male,1922,Photography,70,65
MR1002 Flower stand (Plan and detail sections),Ludwig Mies van der Rohe,American,1886,1969,Male,1934,Architecture & Design,83,48
FONTAINEBLEAU. COUR CHEVAL BLANC,Eugène Atget,French,1857,1927,Male,1903,Photography,70,46
The Toe Tactic,Emily Hubley,American,1958,,Female,2008,Film,-,50
"Paper Piece, Festival of Misfits, ICA, London, October 23- November 8, 1962",Benjamin Patterson,American,1934,2016,Male,1962,Prints & Illustrated Books,82,28
"Taliesin Fellowship Complex, Midway Farm, Spring Green, WI (Plan and elevation of tower and weather vane)",Frank Lloyd Wright,American,1867,1959,Male,1944,Architecture & Design,92,77
The Navy Needs You! Don't Read American History - Make It! U.S. Navy Recruiting Station,James Montgomery Flagg,American,1877,1960,Male,1916,Architecture & Design,83,39
Untitled,Carey Maxon,American,1978,,Female,2003,Drawings,-,25
Untitled from Program,Jorge Pardo,American,1963,,Male,2012,Prints & Illustrated Books,-,49
Plate (folio 8) from LE STANZE OSCURE,Cesare Peverelli,Italian,1922,2000,Male,1965,Prints & Illustrated Books,78,43
Photographic Views and Studies of Canadian Scenery,Alexander Henderson,Canadian,1831,1913,Male,1865,Photography,82,34
"Georgetown County Court House, Georgetown, South Carolina, February 20, 1976",Stephen Shore,American,1947,,Male,1976,Photography,-,29
"Meudon, ancien château",Eugène Atget,French,1857,1927,Male,1902,Photography,70,45
